"ISO","ID","year","year0","Consumption_CEPH","Log_Con_CEPH","eventCEPH","trialCEPH"
"MS3","3",15.5,1,0.24401165748901,-1.41053927823589,7,250
"MS3","3",16.5,2,0.319776862720722,-1.14013183041562,10,249
"MS3","3",17.5,3,0.429912896847601,-0.844172656284381,5,349
"MS3","3",18.5,4,0.255714091106409,-1.36369529023933,6,352
"MS3","3",19.5,5,0.499707502548268,-0.69373234663969,0,302
"MS3","3",20.5,6,0.503081014420953,-0.687004059384461,2,302
"MS4","4",14.5,0,0.00464588453878808,-5.37177349668873,7,968
"MS4","4",15.5,1,0.00212217837606597,-6.15531218197168,3,891
"MS4","4",16.5,2,0.000469492809331795,-7.66385757502047,5,901
"MS4","4",17.5,3,0.000304969275212523,-8.0952995234393,1,810
"MS4","4",18.5,4,0.000529003737567736,-7.5445150607855,0,807
"MS4","4",19.5,5,0.000769351528239146,-7.16996256905986,1,903
"MS4","4",20.5,6,0.00121464755610877,-6.71330132154691,1,911
"MS13","13",14.5,0,0.000228524191320868,-8.38386848312065,3,738
"MS13","13",15.5,1,0.000276825773233507,-8.19212222716263,5,870
"MS13","13",16.5,2,0.00040090277942838,-7.82179160536808,0,937
"MS13","13",17.5,3,0.000257127304504079,-8.26593924744861,0,1014
"MS13","13",18.5,4,0.000234391427704325,-8.35851807215744,0,1013
"MS13","13",19.5,5,0.000272071123833538,-8.20944704116731,0,966
"MS13","13",20.5,6,0.000220223939937814,-8.42086562052154,0,973
"MS14","14",14.5,0,0.137097049794723,-1.98706621128345,13,519
"MS14","14",15.5,1,0.146785717295087,-1.91878146116525,16,514
"MS14","14",16.5,2,0.210202460060278,-1.55968411718114,13,557
"MS14","14",17.5,3,0.378318041692691,-0.972020056985007,9,578
"MS14","14",18.5,4,0.397826212402029,-0.921740021314265,4,540
"MS14","14",19.5,5,0.495951553512132,-0.701277031398363,9,532
"MS14","14",20.5,6,0.294318406794994,-1.22309308137303,14,569
"MS26","26",14.5,0,0.466017246331441,-0.763532636246381,51,802
"MS26","26",15.5,1,0.472238670450627,-0.750270763463993,38,748
"MS26","26",16.5,2,0.362056357813727,-1.01595539470565,27,655
"MS26","26",17.5,3,0.478621714798041,-0.736844733041003,28,616
"MS26","26",18.5,4,0.39116388739618,-0.938628657464478,36,623
"MS26","26",19.5,5,0.373890397853048,-0.983792578385137,20,628
"MS26","26",20.5,6,0.42968803546032,-0.844695832525722,24,406
"MS24","24",15.5,1,0.0736740667014216,-2.60810441821708,31,1269
"MS24","24",16.5,2,0.110005710759881,-2.20722299853839,29,1040
"MS24","24",17.5,3,0.224268812132936,-1.49490989245164,11,358
"MS24","24",18.5,4,0.116174258903496,-2.1526639831707,11,358
"MS24","24",19.5,5,0.135207243937811,-2.00094653738692,10,369
"MS24","24",20.5,6,0.15851421613629,-1.84191099797525,19,497
"MS1","1",14.5,0,0.00244024419640221,-6.01565716419204,7,530
"MS1","1",15.5,1,0.00254367429446521,-5.97414567060585,5,534
"MS1","1",16.5,2,0.00311588267267132,-5.77124280486889,5,400
"MS1","1",17.5,3,0.00210134759165463,-6.16517642974905,1,384
"MS1","1",18.5,4,0.00172045354757568,-6.36516733246602,1,418
"MS1","1",19.5,5,0.00174694958798876,-6.34988410457813,0,390
"MS1","1",20.5,6,0.00244827226900612,-6.01237269951742,1,409
"MS5","5",14.5,0,0.145746639587096,-1.92588551002353,18,170
"MS5","5",15.5,1,0.12629632091512,-2.06912437977982,6,170
"MS5","5",16.5,2,0.174125255241854,-1.74798038102909,8,170
"MS5","5",17.5,3,0.234358013624542,-1.45090536008587,3,170
"MS5","5",18.5,4,0.261449580313386,-1.34151382357634,4,170
"MS5","5",19.5,5,0.226045434645942,-1.48701926165895,2,170
"MS5","5",20.5,6,0.212438108496695,-1.54910458717359,1,170
"MS18","18",14.5,0,0.252437143349834,-1.37659299848512,9,171
"MS18","18",15.5,1,0.432362252615368,-0.838491494401987,0,170
"MS18","18",16.5,2,0.334012665294013,-1.09657636668243,0,170
"MS18","18",17.5,3,0.301029941856812,-1.20054554457318,0,170
"MS18","18",18.5,4,0.282486201568143,-1.26412557359512,0,170
"MS18","18",19.5,5,0.600419869640366,-0.510126085765818,0,169
"MS18","18",20.5,6,0.616362244426906,-0.483920429153046,0,169
