ISO,Consumption_CEPH,eventCEPH,trialCEPH,year,Log_Con_CEPH,year0,ID,Pred,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
FI,0.000994665,1,348,17.5,-6.217279179,3,11,-4.404839165,0.1505831362,25,-29.25187558,7.387275E-21,0.05,-4.71497094,-4.094707391
FI,0.00072033,2,347,18.5,-6.365239269,4,11,-4.404839165,0.1505831362,25,-29.25187558,7.387275E-21,0.05,-4.71497094,-4.094707391
FI,0.000460764,1,344,19.5,-6.528796002,5,11,-4.404839165,0.1505831362,25,-29.25187558,7.387275E-21,0.05,-4.71497094,-4.094707391
FI,0.000405966,0,340,20.5,-6.567030763,6,11,-4.404839165,0.1505831362,25,-29.25187558,7.387275E-21,0.05,-4.71497094,-4.094707391
FR,0.24259,13,858,14.5,-1.412268795,0,12,-2.006278314,0.1514560532,25,-13.2466037,8.391728E-13,0.05,-2.318207895,-1.694348733
FR,0.131291098,11,764,15.5,-2.022750501,1,12,-2.006278314,0.1514560532,25,-13.2466037,8.391728E-13,0.05,-2.318207895,-1.694348733
FR,0.035528865,11,785,16.5,-3.309652505,2,12,-2.006278314,0.1514560532,25,-13.2466037,8.391728E-13,0.05,-2.318207895,-1.694348733
FR,0.016032358,9,850,17.5,-4.072640322,3,12,-2.006278314,0.1514560532,25,-13.2466037,8.391728E-13,0.05,-2.318207895,-1.694348733
FR,0.016342042,11,776,18.5,-4.054621529,4,12,-2.006278314,0.1514560532,25,-13.2466037,8.391728E-13,0.05,-2.318207895,-1.694348733
FR,0.01575319,6,734,19.5,-4.089166564,5,12,-2.006278314,0.1514560532,25,-13.2466037,8.391728E-13,0.05,-2.318207895,-1.694348733
FR,0.016211077,6,806,20.5,-4.062202113,6,12,-2.006278314,0.1514560532,25,-13.2466037,8.391728E-13,0.05,-2.318207895,-1.694348733
HR,0.15391,1,340,14.5,-1.864910976,0,13,-1.766934171,0.1490561952,25,-11.85414782,9.331616E-12,0.05,-2.073921152,-1.459947191
HR,0.171450832,3,255,15.5,-1.757643113,1,13,-1.766934171,0.1490561952,25,-11.85414782,9.331616E-12,0.05,-2.073921152,-1.459947191
HR,0.176746699,3,256,16.5,-1.727395783,2,13,-1.766934171,0.1490561952,25,-11.85414782,9.331616E-12,0.05,-2.073921152,-1.459947191
HR,0.265439188,1,256,17.5,-1.322609248,3,13,-1.766934171,0.1490561952,25,-11.85414782,9.331616E-12,0.05,-2.073921152,-1.459947191
HR,0.310354695,3,254,18.5,-1.16682252,4,13,-1.766934171,0.1490561952,25,-11.85414782,9.331616E-12,0.05,-2.073921152,-1.459947191
HR,0.252462299,2,254,19.5,-1.372540188,5,13,-1.766934171,0.1490561952,25,-11.85414782,9.331616E-12,0.05,-2.073921152,-1.459947191
HR,0.22114306,0,255,20.5,-1.504433688,6,13,-1.766934171,0.1490561952,25,-11.85414782,9.331616E-12,0.05,-2.073921152,-1.459947191
HU,0.31511,9,510,14.5,-1.151665025,0,14,-1.007636013,0.1490054021,25,-6.762412625,4.3561191E-7,0.05,-1.314518383,-0.700753642
HU,0.400107835,14,510,15.5,-0.913524973,1,14,-1.007636013,0.1490054021,25,-6.762412625,4.3561191E-7,0.05,-1.314518383,-0.700753642
HU,0.434162075,15,510,16.5,-0.832036732,2,14,-1.007636013,0.1490054021,25,-6.762412625,4.3561191E-7,0.05,-1.314518383,-0.700753642
HU,0.47056024,8,510,17.5,-0.751708424,3,14,-1.007636013,0.1490054021,25,-6.762412625,4.3561191E-7,0.05,-1.314518383,-0.700753642
HU,0.494858349,10,510,18.5,-0.701464981,4,14,-1.007636013,0.1490054021,25,-6.762412625,4.3561191E-7,0.05,-1.314518383,-0.700753642
HU,0.493216174,7,510,19.5,-0.704782259,5,14,-1.007636013,0.1490054021,25,-6.762412625,4.3561191E-7,0.05,-1.314518383,-0.700753642
HU,0.470107244,16,510,20.5,-0.752669516,6,14,-1.007636013,0.1490054021,25,-6.762412625,4.3561191E-7,0.05,-1.314518383,-0.700753642
IE,0.12075,4,314,14.5,-2.105785517,0,15,-2.09605532,0.1489649969,25,-14.07079088,2.2039E-13,0.05,-2.402854474,-1.789256166
IE,0.120449944,3,317,15.5,-2.108253084,1,15,-2.09605532,0.1489649969,25,-14.07079088,2.2039E-13,0.05,-2.402854474,-1.789256166
IE,0.133225589,6,373,16.5,-2.008233392,2,15,-2.09605532,0.1489649969,25,-14.07079088,2.2039E-13,0.05,-2.402854474,-1.789256166
IE,0.147723826,6,403,17.5,-1.905664208,3,15,-2.09605532,0.1489649969,25,-14.07079088,2.2039E-13,0.05,-2.402854474,-1.789256166
IE,0.142834805,4,370,18.5,-1.939089826,4,15,-2.09605532,0.1489649969,25,-14.07079088,2.2039E-13,0.05,-2.402854474,-1.789256166
IE,0.147570022,3,340,19.5,-1.906698907,5,15,-2.09605532,0.1489649969,25,-14.07079088,2.2039E-13,0.05,-2.402854474,-1.789256166
IE,0.161857676,0,340,20.5,-1.814878611,6,15,-2.09605532,0.1489649969,25,-14.07079088,2.2039E-13,0.05,-2.402854474,-1.789256166
IS,0.001919301,0,162,16.5,-5.836411154,2,16,-5.762250471,0.2787642252,25,-20.6706957,3.102595E-17,0.05,-6.33637614,-5.188124802
IS,0.001283291,0,146,17.5,-6.082137612,3,16,-5.762250471,0.2787642252,25,-20.6706957,3.102595E-17,0.05,-6.33637614,-5.188124802
IS,0.001405883,0,92,18.5,-6.029838305,4,16,-5.762250471,0.2787642252,25,-20.6706957,3.102595E-17,0.05,-6.33637614,-5.188124802
IS,0.001489361,0,99,19.5,-5.99572911,5,16,-5.762250471,0.2787642252,25,-20.6706957,3.102595E-17,0.05,-6.33637614,-5.188124802
IS,0.001551889,1,170,20.5,-5.970921528,6,16,-5.762250471,0.2787642252,25,-20.6706957,3.102595E-17,0.05,-6.33637614,-5.188124802
IT,0.40232,18,678,14.5,-0.908024987,0,17,-0.749719742,0.1494893892,25,-5.01520373,0.0000358336,0.05,-1.057598903,-0.441840582
IT,0.391026691,18,679,15.5,-0.936425352,1,17,-0.749719742,0.1494893892,25,-5.01520373,0.0000358336,0.05,-1.057598903,-0.441840582
IT,0.390352637,21,681,16.5,-0.93814624,2,17,-0.749719742,0.1494893892,25,-5.01520373,0.0000358336,0.05,-1.057598903,-0.441840582
IT,0.392294304,13,680,17.5,-0.933197083,3,17,-0.749719742,0.1494893892,25,-5.01520373,0.0000358336,0.05,-1.057598903,-0.441840582
IT,0.28940794,10,678,18.5,-1.236468655,4,17,-0.749719742,0.1494893892,25,-5.01520373,0.0000358336,0.05,-1.057598903,-0.441840582
IT,0.178540599,8,678,19.5,-1.717353917,5,17,-0.749719742,0.1494893892,25,-5.01520373,0.0000358336,0.05,-1.057598903,-0.441840582
IT,0.148064172,8,680,20.5,-1.903378382,6,17,-0.749719742,0.1494893892,25,-5.01520373,0.0000358336,0.05,-1.057598903,-0.441840582
LT,0.11483,22,174,14.5,-2.15563168,0,18,-2.082161679,0.1490783662,25,-13.96689361,2.59963E-13,0.05,-2.389194322,-1.775129037
LT,0.089289657,41,189,15.5,-2.40473237,1,18,-2.082161679,0.1490783662,25,-13.96689361,2.59963E-13,0.05,-2.389194322,-1.775129037
LT,0.147868682,44,199,16.5,-1.90469069,2,18,-2.082161679,0.1490783662,25,-13.96689361,2.59963E-13,0.05,-2.389194322,-1.775129037
LT,0.244466838,26,192,17.5,-1.404593419,3,18,-2.082161679,0.1490783662,25,-13.96689361,2.59963E-13,0.05,-2.389194322,-1.775129037
LT,0.256492554,27,192,18.5,-1.356764476,4,18,-2.082161679,0.1490783662,25,-13.96689361,2.59963E-13,0.05,-2.389194322,-1.775129037
