ISO,Consumption_CEPH,eventCEPH,trialCEPH,year,Log_Con_CEPH,year0,ID,Pred,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
ES,0.315461502,21,677,17.5,-1.150553683,3,10,-3.343475224,0.1500869967,25,-22.2769147,5.242692E-18,0.05,-3.65258518,-3.034365268
ES,0.339658118,15,680,18.5,-1.076875892,4,10,-3.343475224,0.1500869967,25,-22.2769147,5.242692E-18,0.05,-3.65258518,-3.034365268
ES,0.322989421,12,680,19.5,-1.127044415,5,10,-3.343475224,0.1500869967,25,-22.2769147,5.242692E-18,0.05,-3.65258518,-3.034365268
ES,0.346044048,9,680,20.5,-1.058303566,6,10,-3.343475224,0.1500869967,25,-22.2769147,5.242692E-18,0.05,-3.65258518,-3.034365268
FI,0.01494,0,392,14.5,-4.138923606,0,11,-5.649964471,0.5263037803,25,-10.73517744,7.516735E-11,0.05,-6.733907397,-4.566021545
FI,0.010249286,1,401,15.5,-4.487450612,1,11,-5.649964471,0.5263037803,25,-10.73517744,7.516735E-11,0.05,-6.733907397,-4.566021545
FI,0.003660219,1,359,16.5,-5.368692879,2,11,-5.649964471,0.5263037803,25,-10.73517744,7.516735E-11,0.05,-6.733907397,-4.566021545
FI,0.000994665,1,348,17.5,-6.217279179,3,11,-5.649964471,0.5263037803,25,-10.73517744,7.516735E-11,0.05,-6.733907397,-4.566021545
FI,0.00072033,2,347,18.5,-6.365239269,4,11,-5.649964471,0.5263037803,25,-10.73517744,7.516735E-11,0.05,-6.733907397,-4.566021545
FI,0.000460764,1,344,19.5,-6.528796002,5,11,-5.649964471,0.5263037803,25,-10.73517744,7.516735E-11,0.05,-6.733907397,-4.566021545
FI,0.000405966,0,340,20.5,-6.567030763,6,11,-5.649964471,0.5263037803,25,-10.73517744,7.516735E-11,0.05,-6.733907397,-4.566021545
FR,0.24259,13,858,14.5,-1.412268795,0,12,-4.098323014,0.1938044032,25,-21.14669711,1.808918E-17,0.05,-4.497470654,-3.699175374
FR,0.131291098,11,764,15.5,-2.022750501,1,12,-4.098323014,0.1938044032,25,-21.14669711,1.808918E-17,0.05,-4.497470654,-3.699175374
FR,0.035528865,11,785,16.5,-3.309652505,2,12,-4.098323014,0.1938044032,25,-21.14669711,1.808918E-17,0.05,-4.497470654,-3.699175374
FR,0.016032358,9,850,17.5,-4.072640322,3,12,-4.098323014,0.1938044032,25,-21.14669711,1.808918E-17,0.05,-4.497470654,-3.699175374
FR,0.016342042,11,776,18.5,-4.054621529,4,12,-4.098323014,0.1938044032,25,-21.14669711,1.808918E-17,0.05,-4.497470654,-3.699175374
FR,0.01575319,6,734,19.5,-4.089166564,5,12,-4.098323014,0.1938044032,25,-21.14669711,1.808918E-17,0.05,-4.497470654,-3.699175374
FR,0.016211077,6,806,20.5,-4.062202113,6,12,-4.098323014,0.1938044032,25,-21.14669711,1.808918E-17,0.05,-4.497470654,-3.699175374
HR,0.15391,1,340,14.5,-1.864910976,0,13,-4.658748563,0.3883839748,25,-11.99521315,7.24467E-12,0.05,-5.458640332,-3.858856794
HR,0.171450832,3,255,15.5,-1.757643113,1,13,-4.658748563,0.3883839748,25,-11.99521315,7.24467E-12,0.05,-5.458640332,-3.858856794
HR,0.176746699,3,256,16.5,-1.727395783,2,13,-4.658748563,0.3883839748,25,-11.99521315,7.24467E-12,0.05,-5.458640332,-3.858856794
HR,0.265439188,1,256,17.5,-1.322609248,3,13,-4.658748563,0.3883839748,25,-11.99521315,7.24467E-12,0.05,-5.458640332,-3.858856794
HR,0.310354695,3,254,18.5,-1.16682252,4,13,-4.658748563,0.3883839748,25,-11.99521315,7.24467E-12,0.05,-5.458640332,-3.858856794
HR,0.252462299,2,254,19.5,-1.372540188,5,13,-4.658748563,0.3883839748,25,-11.99521315,7.24467E-12,0.05,-5.458640332,-3.858856794
HR,0.22114306,0,255,20.5,-1.504433688,6,13,-4.658748563,0.3883839748,25,-11.99521315,7.24467E-12,0.05,-5.458640332,-3.858856794
HU,0.31511,9,510,14.5,-1.151665025,0,14,-3.779070329,0.1996939274,25,-18.92431271,2.480809E-16,0.05,-4.190347671,-3.367792986
HU,0.400107835,14,510,15.5,-0.913524973,1,14,-3.779070329,0.1996939274,25,-18.92431271,2.480809E-16,0.05,-4.190347671,-3.367792986
HU,0.434162075,15,510,16.5,-0.832036732,2,14,-3.779070329,0.1996939274,25,-18.92431271,2.480809E-16,0.05,-4.190347671,-3.367792986
HU,0.47056024,8,510,17.5,-0.751708424,3,14,-3.779070329,0.1996939274,25,-18.92431271,2.480809E-16,0.05,-4.190347671,-3.367792986
HU,0.494858349,10,510,18.5,-0.701464981,4,14,-3.779070329,0.1996939274,25,-18.92431271,2.480809E-16,0.05,-4.190347671,-3.367792986
HU,0.493216174,7,510,19.5,-0.704782259,5,14,-3.779070329,0.1996939274,25,-18.92431271,2.480809E-16,0.05,-4.190347671,-3.367792986
HU,0.470107244,16,510,20.5,-0.752669516,6,14,-3.779070329,0.1996939274,25,-18.92431271,2.480809E-16,0.05,-4.190347671,-3.367792986
IE,0.12075,4,314,14.5,-2.105785517,0,15,-4.079740017,0.2995521607,25,-13.61946449,4.547804E-13,0.05,-4.696679241,-3.462800794
IE,0.120449944,3,317,15.5,-2.108253084,1,15,-4.079740017,0.2995521607,25,-13.61946449,4.547804E-13,0.05,-4.696679241,-3.462800794
IE,0.133225589,6,373,16.5,-2.008233392,2,15,-4.079740017,0.2995521607,25,-13.61946449,4.547804E-13,0.05,-4.696679241,-3.462800794
