ISO,Consumption_CEPH,eventCEPH,trialCEPH,year,Log_Con_CEPH,year0,ID,Pred,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
FR,0.016211077,6,806,20.5,-4.062202113,6,12,-0.428483671,0.0418726255,25,-10.23302612,2.010175E-10,0.05,-0.514721957,-0.342245384
HR,0.15391,1,340,14.5,-1.864910976,0,13,0.0784563466,0.0409834248,25,1.9143433463,0.0670886013,0.05,-0.005950597,0.1628632901
HR,0.171450832,3,255,15.5,-1.757643113,1,13,0.0784563466,0.0409834248,25,1.9143433463,0.0670886013,0.05,-0.005950597,0.1628632901
HR,0.176746699,3,256,16.5,-1.727395783,2,13,0.0784563466,0.0409834248,25,1.9143433463,0.0670886013,0.05,-0.005950597,0.1628632901
HR,0.265439188,1,256,17.5,-1.322609248,3,13,0.0784563466,0.0409834248,25,1.9143433463,0.0670886013,0.05,-0.005950597,0.1628632901
HR,0.310354695,3,254,18.5,-1.16682252,4,13,0.0784563466,0.0409834248,25,1.9143433463,0.0670886013,0.05,-0.005950597,0.1628632901
HR,0.252462299,2,254,19.5,-1.372540188,5,13,0.0784563466,0.0409834248,25,1.9143433463,0.0670886013,0.05,-0.005950597,0.1628632901
HR,0.22114306,0,255,20.5,-1.504433688,6,13,0.0784563466,0.0409834248,25,1.9143433463,0.0670886013,0.05,-0.005950597,0.1628632901
HU,0.31511,9,510,14.5,-1.151665025,0,14,0.0584588294,0.0409636872,25,1.4270890497,0.1659257566,0.05,-0.025907464,0.1428251225
HU,0.400107835,14,510,15.5,-0.913524973,1,14,0.0584588294,0.0409636872,25,1.4270890497,0.1659257566,0.05,-0.025907464,0.1428251225
HU,0.434162075,15,510,16.5,-0.832036732,2,14,0.0584588294,0.0409636872,25,1.4270890497,0.1659257566,0.05,-0.025907464,0.1428251225
HU,0.47056024,8,510,17.5,-0.751708424,3,14,0.0584588294,0.0409636872,25,1.4270890497,0.1659257566,0.05,-0.025907464,0.1428251225
HU,0.494858349,10,510,18.5,-0.701464981,4,14,0.0584588294,0.0409636872,25,1.4270890497,0.1659257566,0.05,-0.025907464,0.1428251225
HU,0.493216174,7,510,19.5,-0.704782259,5,14,0.0584588294,0.0409636872,25,1.4270890497,0.1659257566,0.05,-0.025907464,0.1428251225
HU,0.470107244,16,510,20.5,-0.752669516,6,14,0.0584588294,0.0409636872,25,1.4270890497,0.1659257566,0.05,-0.025907464,0.1428251225
IE,0.12075,4,314,14.5,-2.105785517,0,15,0.0420647328,0.0409469457,25,1.0272984253,0.3141175631,0.05,-0.04226708,0.126396546
IE,0.120449944,3,317,15.5,-2.108253084,1,15,0.0420647328,0.0409469457,25,1.0272984253,0.3141175631,0.05,-0.04226708,0.126396546
IE,0.133225589,6,373,16.5,-2.008233392,2,15,0.0420647328,0.0409469457,25,1.0272984253,0.3141175631,0.05,-0.04226708,0.126396546
IE,0.147723826,6,403,17.5,-1.905664208,3,15,0.0420647328,0.0409469457,25,1.0272984253,0.3141175631,0.05,-0.04226708,0.126396546
IE,0.142834805,4,370,18.5,-1.939089826,4,15,0.0420647328,0.0409469457,25,1.0272984253,0.3141175631,0.05,-0.04226708,0.126396546
IE,0.147570022,3,340,19.5,-1.906698907,5,15,0.0420647328,0.0409469457,25,1.0272984253,0.3141175631,0.05,-0.04226708,0.126396546
IE,0.161857676,0,340,20.5,-1.814878611,6,15,0.0420647328,0.0409469457,25,1.0272984253,0.3141175631,0.05,-0.04226708,0.126396546
IS,0.001919301,0,162,16.5,-5.836411154,2,16,-0.052326621,0.0651994974,25,-0.80256172,0.4297920431,0.05,-0.186607499,0.0819542578
IS,0.001283291,0,146,17.5,-6.082137612,3,16,-0.052326621,0.0651994974,25,-0.80256172,0.4297920431,0.05,-0.186607499,0.0819542578
IS,0.001405883,0,92,18.5,-6.029838305,4,16,-0.052326621,0.0651994974,25,-0.80256172,0.4297920431,0.05,-0.186607499,0.0819542578
IS,0.001489361,0,99,19.5,-5.99572911,5,16,-0.052326621,0.0651994974,25,-0.80256172,0.4297920431,0.05,-0.186607499,0.0819542578
IS,0.001551889,1,170,20.5,-5.970921528,6,16,-0.052326621,0.0651994974,25,-0.80256172,0.4297920431,0.05,-0.186607499,0.0819542578
IT,0.40232,18,678,14.5,-0.908024987,0,17,-0.159764137,0.0411232019,25,-3.88501211,0.0006652708,0.05,-0.244458957,-0.075069318
IT,0.391026691,18,679,15.5,-0.936425352,1,17,-0.159764137,0.0411232019,25,-3.88501211,0.0006652708,0.05,-0.244458957,-0.075069318
IT,0.390352637,21,681,16.5,-0.93814624,2,17,-0.159764137,0.0411232019,25,-3.88501211,0.0006652708,0.05,-0.244458957,-0.075069318
IT,0.392294304,13,680,17.5,-0.933197083,3,17,-0.159764137,0.0411232019,25,-3.88501211,0.0006652708,0.05,-0.244458957,-0.075069318
IT,0.28940794,10,678,18.5,-1.236468655,4,17,-0.159764137,0.0411232019,25,-3.88501211,0.0006652708,0.05,-0.244458957,-0.075069318
IT,0.178540599,8,678,19.5,-1.717353917,5,17,-0.159764137,0.0411232019,25,-3.88501211,0.0006652708,0.05,-0.244458957,-0.075069318
IT,0.148064172,8,680,20.5,-1.903378382,6,17,-0.159764137,0.0411232019,25,-3.88501211,0.0006652708,0.05,-0.244458957,-0.075069318
LT,0.11483,22,174,14.5,-2.15563168,0,18,0.076297511,0.0409900797,25,1.8613652745,0.074491191,0.05,-0.008123138,0.1607181605
LT,0.089289657,41,189,15.5,-2.40473237,1,18,0.076297511,0.0409900797,25,1.8613652745,0.074491191,0.05,-0.008123138,0.1607181605
LT,0.147868682,44,199,16.5,-1.90469069,2,18,0.076297511,0.0409900797,25,1.8613652745,0.074491191,0.05,-0.008123138,0.1607181605
LT,0.244466838,26,192,17.5,-1.404593419,3,18,0.076297511,0.0409900797,25,1.8613652745,0.074491191,0.05,-0.008123138,0.1607181605
LT,0.256492554,27,192,18.5,-1.356764476,4,18,0.076297511,0.0409900797,25,1.8613652745,0.074491191,0.05,-0.008123138,0.1607181605
LT,0.165771399,4,199,19.5,-1.791131276,5,18,0.076297511,0.0409900797,25,1.8613652745,0.074491191,0.05,-0.008123138,0.1607181605
LT,0.140435334,5,200,20.5,-1.955912669,6,18,0.076297511,0.0409900797,25,1.8613652745,0.074491191,0.05,-0.008123138,0.1607181605
LV,0.36721,29,297,14.5,-0.999101851,0,19,0.0442441564,0.0409495237,25,1.0804559447,0.2902525659,0.05,-0.040092967,0.1285812792
LV,0.313485293,6,250,15.5,-1.156817967,1,19,0.0442441564,0.0409495237,25,1.0804559447,0.2902525659,0.05,-0.040092967,0.1285812792
LV,0.301920925,8,249,16.5,-1.194283482,2,19,0.0442441564,0.0409495237,25,1.0804559447,0.2902525659,0.05,-0.040092967,0.1285812792
LV,0.367385541,3,349,17.5,-0.998625224,3,19,0.0442441564,0.0409495237,25,1.0804559447,0.2902525659,0.05,-0.040092967,0.1285812792
LV,0.392193545,3,352,18.5,-0.933453307,4,19,0.0442441564,0.0409495237,25,1.0804559447,0.2902525659,0.05,-0.040092967,0.1285812792
LV,0.417921983,2,302,19.5,-0.870070575,5,19,0.0442441564,0.0409495237,25,1.0804559447,0.2902525659,0.05,-0.040092967,0.1285812792
LV,0.433061128,3,302,20.5,-0.834569906,6,19,0.0442441564,0.0409495237,25,1.0804559447,0.2902525659,0.05,-0.040092967,0.1285812792
NL,0.00386,7,968,14.5,-5.326716841,0,20,-0.141569525,0.0411656382,25,-3.439021738,0.0020565894,0.05,-0.226351743,-0.056787306
NL,0.001884987,4,891,15.5,-5.848235014,1,20,-0.141569525,0.0411656382,25,-3.439021738,0.0020565894,0.05,-0.226351743,-0.056787306
NL,0.000397972,4,901,16.5,-6.572732419,2,20,-0.141569525,0.0411656382,25,-3.439021738,0.0020565894,0.05,-0.226351743,-0.056787306
NL,0.000316266,2,810,17.5,-6.632956694,3,20,-0.141569525,0.0411656382,25,-3.439021738,0.0020565894,0.05,-0.226351743,-0.056787306
NL,0.000590935,1,807,18.5,-6.44343339,4,20,-0.141569525,0.0411656382,25,-3.439021738,0.0020565894,0.05,-0.226351743,-0.056787306
NL,0.000530934,1,903,19.5,-6.48187727,5,20,-0.141569525,0.0411656382,25,-3.439021738,0.0020565894,0.05,-0.226351743,-0.056787306
NL,0.00095755,1,911,20.5,-6.236061856,6,20,-0.141569525,0.0411656382,25,-3.439021738,0.0020565894,0.05,-0.226351743,-0.056787306
NO,0.00033,7,738,14.5,-6.622576337,0,21,-0.030294797,0.041445207,25,-0.730960196,0.4715993033,0.05,-0.115652798,0.055063205
NO,0.000301346,4,870,15.5,-6.644355847,1,21,-0.030294797,0.041445207,25,-0.730960196,0.4715993033,0.05,-0.115652798,0.055063205
NO,0.000303184,0,937,16.5,-6.642945155,2,21,-0.030294797,0.041445207,25,-0.730960196,0.4715993033,0.05,-0.115652798,0.055063205
NO,0.00028785,0,1014,17.5,-6.654781428,3,21,-0.030294797,0.041445207,25,-0.730960196,0.4715993033,0.05,-0.115652798,0.055063205
NO,0.000242119,0,1013,18.5,-6.690936775,4,21,-0.030294797,0.041445207,25,-0.730960196,0.4715993033,0.05,-0.115652798,0.055063205
NO,0.000218976,0,966,19.5,-6.7097439,5,21,-0.030294797,0.041445207,25,-0.730960196,0.4715993033,0.05,-0.115652798,0.055063205
NO,0.000215265,0,973,20.5,-6.71279322,6,21,-0.030294797,0.041445207,25,-0.730960196,0.4715993033,0.05,-0.115652798,0.055063205
PL,0.15504,17,519,14.5,-1.857642894,0,22,0.1709995788,0.0411742292,25,4.1530729831,0.0003341068,0.05,0.0861996664,0.2557994911
PL,0.14848368,18,514,15.5,-1.900568054,1,22,0.1709995788,0.0411742292,25,4.1530729831,0.0003341068,0.05,0.0861996664,0.2557994911
PL,0.197417047,13,557,16.5,-1.617384164,2,22,0.1709995788,0.0411742292,25,4.1530729831,0.0003341068,0.05,0.0861996664,0.2557994911
PL,0.260253557,12,578,17.5,-1.34226386,3,22,0.1709995788,0.0411742292,25,4.1530729831,0.0003341068,0.05,0.0861996664,0.2557994911
PL,0.34220906,8,540,18.5,-1.069415514,4,22,0.1709995788,0.0411742292,25,4.1530729831,0.0003341068,0.05,0.0861996664,0.2557994911
PL,0.393741406,8,532,19.5,-0.929524398,5,22,0.1709995788,0.0411742292,25,4.1530729831,0.0003341068,0.05,0.0861996664,0.2557994911
PL,0.385220183,12,569,20.5,-0.95134765,6,22,0.1709995788,0.0411742292,25,4.1530729831,0.0003341068,0.05,0.0861996664,0.2557994911
PT,0.43552,41,802,14.5,-0.828921086,0,23,-0.054532633,0.0409751771,25,-1.330869976,0.19524318,0.05,-0.13892259,0.029857324
PT,0.452127767,40,748,15.5,-0.791581148,1,23,-0.054532633,0.0409751771,25,-1.330869976,0.19524318,0.05,-0.13892259,0.029857324
PT,0.508119114,29,655,16.5,-0.675073274,2,23,-0.054532633,0.0409751771,25,-1.330869976,0.19524318,0.05,-0.13892259,0.029857324
PT,0.456919833,22,616,17.5,-0.781061148,3,23,-0.054532633,0.0409751771,25,-1.330869976,0.19524318,0.05,-0.13892259,0.029857324
PT,0.323065312,28,623,18.5,-1.126810204,4,23,-0.054532633,0.0409751771,25,-1.330869976,0.19524318,0.05,-0.13892259,0.029857324
PT,0.333623818,27,628,19.5,-1.094748309,5,23,-0.054532633,0.0409751771,25,-1.330869976,0.19524318,0.05,-0.13892259,0.029857324
PT,0.353923215,18,406,20.5,-1.035853809,6,23,-0.054532633,0.0409751771,25,-1.330869976,0.19524318,0.05,-0.13892259,0.029857324
